||valtech-employment-section||Valtech employment section|Firstly, we're going to ask you about your working patterns and location in 2022. These are key inputs to emissions calculations!||||||||Sección de empleo de Valtech|En primer lugar, le preguntaremos sobre sus patrones de trabajo y ubicación en 2022. ¡Estos son insumos clave para los cálculos de emisiones!| | | ||Section emploi Valtech|Tout d'abord, nous allons vous poser des questions sur vos habitudes et vos lieux de travail en 2022. Ce sont des données clés pour le calcul des émissions !| | | ||Seção: o trabalho na Valtech|Em primeiro lugar, vamos perguntar sobre seus padrões de trabalho e localização em 2022. Estes são os principais insumos para os cálculos de emissões!| | | | |Seção: o trabalho na Valtech|Em primeiro lugar, vamos perguntar sobre seus padrões de trabalho e localização em 2022. Estes são os principais insumos para os cálculos de emissões!| | |||||| |$
||employment_start-date-year|VALTECH EMPLOYMENT|When did you start working at Valtech?|If your company was acquired by Valtech, please answer according to when you started working at your original company.|MULTIPLE OPTIONS - ONE CHOICE|"Options:
 - Before 2022
 - During 2022
 - During 2023"|Total days of year to factor in to calculations|||||¿Cuándo empezaste a trabajar en Valtech?|Si su empresa fue adquirida por Valtech, responda de acuerdo con cuando comenzó a trabajar en su empresa original.|"Opciones:
- Antes de 2022
- Durante 2022
- Durante 2023"| | ||Quand avez-vous commencé à travailler chez Valtech?|Si votre entreprise a été acquise par Valtech, veuillez répondre en fonction du moment où vous avez commencé à travailler dans votre entreprise d'origine.|"Options
 - Avant 2022
 - Courant 2022
 - Courant 2023"| | ||Quando você começou a trabalhar na Valtech?|Se sua empresa foi adquirida pela Valtech, responda de acordo com quando você começou a trabalhar em sua empresa original.|"Opções:
- Antes de 2022
- Durante 2022
- Durante 2023"| | | |Quando você começou a trabalhar na Valtech?|Se sua empresa foi adquirida pela Valtech, responda de acordo com quando você começou a trabalhar em sua empresa original.|"Opções:
- Antes de 2022
- Durante 2022
- Durante 2023"| |||||| |$
Only display if during 2022 or during 2023 selected in previous question. If 2023 selected, only display January - May.||employment_start-date-month|VALTECH EMPLOYMENT|In which month did you start working at Valtech in that year?||DATE|"Options:
 - January
 - February
 - March
 - April
 - May
 - June
 - July
 - August
 - September
 - October
 - November
 - December"||||||¿En qué mes comenzó a trabajar en Valtech en ese año?| |"Opciones:
- Enero
- Febrero
- Marzo
- Abril
- Mayo
- Junio
- Julio
- Agosto
- Septiembre
- Octubre
- Noviembre
- Diciembre"| | ||En quel mois avez-vous commencé à travailler chez Valtech cette année-là?| |"Options:
 - Janvier
 - Février
 - Mars
 - Avril
 - Mai
 - Juin
 - Juillet
 - Août
 - Septembre
 - Octobre
 - Novembre
 - Décembre"| | ||Em que mês você começou a trabalhar na Valtech naquele ano?| |"Opções:
- Janeiro
- Fevereiro
- Março
- Abril
- Maio
- Junho
- Julho
- Agosto
- Setembro
- Outubro
- Novembro
- Dezembro"| | | |Em que mês você começou a trabalhar na Valtech naquele ano?| |"Opções:
- Janeiro
- Fevereiro
- Março
- Abril
- Maio
- Junho
- Julho
- Agosto
- Setembro
- Outubro
- Novembro
- Dezembro"| |||||| |$
"If no, move to ""which was your base / normal Valtech office in 2022"""||employment_base-office-moved|VALTECH EMPLOYMENT|Did you move your base / normal Valtech office in 2022?|"By ""base / normal office"", we mean the Valtech office you officially formed a part of in 2022. This may or may not have been your closest office, geographically, but it should be the main Valtech office you went to in 2022 if / when you commuted. 

If you don't have a base office, please select ""No""."|MULTIPLE OPTIONS - ONE CHOICE|"Options:
 - No (default)
 - Yes"||||||¿Trasladó su oficina base / normal de Valtech en 2022?|"Por ""oficina base / normal"", nos referimos a la oficina de Valtech de la que formaste parte oficialmente en 2022. Esta puede o no haber sido su oficina más cercana, geográficamente, pero debería ser la oficina principal de Valtech a la que fue en 2022 si / cuando viajó.

Si no tienes una oficina base, seleccione ""No""."|"Opciones:
 - No (predeterminado)
- Sí"| | ||"Avez-vous changé de bureau ""de base"" Valtech en 2022?"|"Par ""bureau de base"", nous entendons le bureau de Valtech dont vous faisiez officiellement partie en 2022. Il s'agit du bureau Valtech où vous vous êtes rendu le plus souvent en 2022.

Si vous n'avez pas de bureau de base, veuillez sélectionner ""Non""."|"Options:
 - Non (par défaut)
 - Oui"| | ||Você mudou sua base /escritório normal da Valtech em 2022?|"Por ""escritório base / normal"", queremos dizer o escritório da Valtech do qual você fez parte oficialmente em 2022. Este pode ou não ter sido o seu escritório mais próximo, geograficamente, mas deve ser o escritório principal da Valtech que você visitou em 2022 se / quando você comutou.

Se você não tiver um escritório base, selecione ""Não""."|"Opções:
- Não (padrão)
- Sim"| | | |Você mudou sua base /escritório normal da Valtech em 2022?|"Por ""escritório base / normal"", queremos dizer o escritório da Valtech do qual você fez parte oficialmente em 2022. Este pode ou não ter sido o seu escritório mais próximo, geograficamente, mas deve ser o escritório principal da Valtech que você visitou em 2022 se / quando você comutou.

Se você não tiver um escritório base, selecione ""Não""."|"Opções:
- Não (padrão)
- Sim"| |||||| |$
"Only display if answered ""no"" to ""did you move your base / normal office in 2022?"""||employment_base-office-location|VALTECH EMPLOYMENT|Which was your base / normal Valtech office in 2022? |"If your contract shows that you are based 100% at home, please select ""I don't have a base office"""|MULTIPLE OPTIONS - ONE CHOICE|"Options:
 - A LIST OF ALL VALTECH OFFICES (ENTITIES) FROM DROP DOWN
 - Other [specify]
 - Include ""I don't have a base office"" as an option"|Useful for office data survey||"* OTHER TEXT: Other (please specify)
* OTHER PLACEHOLDER: Different office
* UNKNOWN OPTION: I don't have a base office"|||¿Cuál era su oficina base / normal de Valtech en 2022? |"Si su contrato muestra que usted está basado 100% en casa, por favor seleccione ""No tengo una oficina base"""|"Opciones:
 - una LISTA DE TODAS LAS OFICINAS (ENTIDADES) DE VALTECH DEL MENÚ DESPLEGABLE
- Otro [especificar]
- Incluya ""No tengo una oficina base"" como opción"|"* OTRO TEXTO: Otro (especifique)
* OTRO MARCADOR DE POSICIÓN: Oficina diferente
* OPCIÓN DESCONOCIDA: No tengo una oficina base"| ||"Quel était votre bureau ""de base"" Valtech en 2022? "|"Si votre contrat montre que vous êtes 100% en télétravail (full remote), veuillez sélectionner ""Je n'ai pas de bureau de base"""|"Options:
 - une LISTE DE TOUS LES BUREAUX (ENTITÉS) DE VALTECH À PARTIR DE LA liste DÉROULANTE
 - Autre [préciser]
 - Inclure ""Je n'ai pas de bureau de base"" en option"|"* AUTRE TEXTE: Autre (veuillez préciser)
* AUTRE ESPACE RÉSERVÉ: Bureau différent
* OPTION INCONNUE: Je n'ai pas de bureau de base"| ||Qual era o seu escritório base / normal da Valtech em 2022? |"Se o seu contrato disser que você está 100% em casa, selecione ""Eu não tenho um escritório base"""|"Opções:
 - LISTA DE TODOS OS ESCRITÓRIOS (ENTIDADES) DA VALTECH DO MENU SUSPENSO
- Outro [especificar]
- Incluir como opção ""Não tenho escritório base"""|"* OUTRO TEXTO: Outro (especifique)
* OUTRO ESPAÇO RESERVADO: escritório diferente
* OPÇÃO DESCONHECIDA: Eu não tenho um escritório base"| | |Qual era o seu escritório base / normal da Valtech em 2022? |"Se o seu contrato disser que você está 100% em casa, selecione ""Eu não tenho um escritório base"""|"Opções:
 - LISTA DE TODOS OS ESCRITÓRIOS (ENTIDADES) DA VALTECH DO MENU SUSPENSO
- Outro [especificar]
- Incluir como opção ""Não tenho escritório base"""|"Outro (especifique)
"|escritório diferente|Eu não tenho um escritório base|||| |$
"Only display if ""yes"" selected in previous question"||employment_base-office-location-original|VALTECH EMPLOYMENT|Which was the base / normal Valtech office you had at the start of 2022?||MULTIPLE OPTIONS - ONE CHOICE|"Options:
 - Office list
 - Other [specify]"|||"* OTHER TEXT: Other (please specify)
* OTHER PLACEHOLDER: Different office"|||¿Cuál era la oficina de Valtech base / normal que tenía a principios de 2022?| |"Opciones:
- Lista de oficinas
- Otros [especificar]"|"* OTRO TEXTO: Otro (especifique)
* OTRO MARCADOR DE POSICIÓN: Oficina diferente"| ||Quel était le bureau de base de Valtech que vous aviez au début de 2022?| |"Options:
 - Liste des bureaux
 - Autre [préciser]"|"* AUTRE TEXTE: Autre (veuillez préciser)
* AUTRE ESPACE RÉSERVÉ: Bureau différent"| ||Qual era o escritório base / normal da Valtech que você tinha no início de 2022?| |"Opções:
- Lista de escritórios
- Outros [especificar]"|"* OUTRO TEXTO: Outro (especifique)
* OUTRO ESPAÇO RESERVADO: escritório diferente"| | |Qual era o escritório base / normal da Valtech que você tinha no início de 2022?| |"Opções:
- Lista de escritórios
- Outros [especificar]"|"Outro (especifique)
"| escritório diferente||||| |$
"Only display if ""yes"" selected in previous question"||employment_base-office-location-new|VALTECH EMPLOYMENT|Which was the base / normal Valtech office you moved to during the course of 2022?|If you moved offices more than once in 2022, please select the office you ended the year in. |MULTIPLE OPTIONS - ONE CHOICE|"Options:
 - Office list
 - Other [specify]"|||"* OTHER TEXT: Other (please specify)
* OTHER PLACEHOLDER: Different office"|||¿Cuál fue la oficina base / normal de Valtech a la que se mudó durante el transcurso de 2022?|Si mudó oficinas más de una vez en 2022, seleccione la oficina en la que terminó el año. |"Opciones:
- Lista de oficinas
- Otros [especificar]"|"* OTRO TEXTO: Otro (especifique)
* OTRO MARCADOR DE POSICIÓN: Oficina diferente"| ||Quel était le bureau de base Valtech dans lequel vous avez déménagé au cours de l'année 2022?|Si vous avez déménagé plus d'une fois en 2022, veuillez sélectionner le bureau dans lequel vous avez terminé l'année. |"Options:
 - Liste des bureaux
 - Autre [préciser]"|"* AUTRE TEXTE: Autre (veuillez préciser)
* AUTRE ESPACE RÉSERVÉ: Bureau différent"| ||Qual foi o escritório base/ normal da Valtech para o qual você se mudou durante o ano de 2022?|Se você mudou de escritório mais de uma vez em 2022, selecione o escritório em que terminou o ano. |"Opções:
- Lista de escritórios
- Outros [especificar]"|"* OUTRO TEXTO: Outro (especifique)
* OUTRO ESPAÇO RESERVADO: escritório diferente"| | |Qual foi o escritório base/ normal da Valtech para o qual você se mudou durante o ano de 2022?|Se você mudou de escritório mais de uma vez em 2022, selecione o escritório em que terminou o ano. |"Opções:
- Lista de escritórios
- Outros [especificar]"|"Outro (especifique)
"| escritório diferente||||| |$
||employment_business-unit|VALTECH EMPLOYMENT|Which Valtech business unit / service line / team do you work for?|This is the team you work for, day-to-day, irrespective of where you live. For example, you might live in Germany but work for Valtech France. Please look at the whole list before answering.|MULTIPLE OPTIONS - ONE CHOICE|"Options:
 - List on ""VT offices and teams list"" tab"|||* PLACEHOLDER: Select your business unit...|||¿Para qué unidad de negocio/línea de servicio/ equipo de Valtech trabaja?|Este es el equipo para el que trabajas, día a día, independientemente de dónde vivas. Por ejemplo, puedes vivir en Alemania, pero trabajar para Valtech Francia. Por favor, mire toda la lista antes de responder.|"Opciones:
- Enumere en la pestaña ""Lista de oficinas y equipos de VT"""|* MARCADOR DE POSICIÓN: Seleccione su unidad de negocio...| ||Pour quelle unité commerciale/ligne de service/ équipe Valtech travaillez-vous?|C'est l'équipe pour laquelle vous travaillez, au jour le jour, quel que soit l'endroit où vous vivez. Par exemple, vous pourriez vivre en Allemagne mais travailler pour Valtech France. Veuillez consulter la liste complète avant de répondre.|"Options:
 - Liste sur l'onglet ""Liste des bureaux et équipes VT"""|* ESPACE RÉSERVÉ: Sélectionnez votre unité d'affaires...| ||Para qual unidade de negócios / linha de serviço/ equipe da Valtech você trabalha?|Esta é a equipe para a qual você trabalha, no dia-a-dia, independentemente de onde você mora. Por exemplo, você pode morar na Alemanha, mas trabalhar para a Valtech França. Veja a lista completa antes de responder.|"Opções:
- Lista na guia ""Lista de escritórios e equipes VT"""|* ESPAÇO RESERVADO: Selecione sua unidade de negócios...| | |Para qual unidade de negócios / linha de serviço/ equipe da Valtech você trabalha?|Esta é a equipe para a qual você trabalha, no dia-a-dia, independentemente de onde você mora. Por exemplo, você pode morar na Alemanha, mas trabalhar para a Valtech França. Veja a lista completa antes de responder.|"Opções:
- Lista na guia ""Lista de escritórios e equipes VT"""||||Selecione sua unidade de negócios...||| |$
||employment_home-country|VALTECH EMPLOYMENT|Which country did you live in, in 2022?|This will help us to determine the emission intensity of your local grid. If you split your working time between houses in different areas / countries, or moved area / country during 2022, please answer according to the location in which you spent the majority of the year.|MULTIPLE OPTIONS - ONE CHOICE|"Options:
 - List of all Valtech countries (i.e. where we have offices)
 - Other: specify (free text)"|Grid electricity, location based calculation||"* PLACEHOLDER: Select your country...
* OTHER TEXT: Other (please specify)
* OTHER PLACEHOLDER: Different country"|||¿En qué país vivió en 2022?|Esto nos ayudará a determinar la intensidad de emisión de su red local. Si dividió su tiempo de trabajo entre casas en diferentes áreas / países, o se mudó de área / país durante 2022, responda de acuerdo con la ubicación en la que pasó la mayor parte del año.|"Opciones:
- Lista de todos los países de Valtech (es decir, donde tenemos oficinas)
- Otro: especificar (texto libre)"|"* MARCADOR DE POSICIÓN: Seleccione su país…* OTRO TEXTO: Otro (especifique)
* OTRO MARCADOR DE POSICIÓN: Oficina diferente"| ||Dans quel pays avez-vous vécu en 2022?|Cela nous aidera à déterminer l'intensité des émissions de votre réseau électrique local. Si vous partagez votre temps de travail entre des maisons situées dans différentes zones / pays ou dans une zone /un pays déplacé en 2022, veuillez répondre en fonction du lieu où vous avez passé la majeure partie de l'année.|"Options:
 - Liste de tous les pays Valtech (c'est-à-dire où nous avons des bureaux)
 - Autre: préciser (texte libre)"|"* PLACEHOLDER: Sélectionnez votre pays...* AUTRE TEXTE: Autre (veuillez préciser)
* AUTRE ESPACE RÉSERVÉ: Bureau différent"| ||Em que país você morou, em 2022?|Isso nos ajudará a determinar a intensidade de emissão de sua rede local. Se você dividir seu tempo de trabalho entre casas em diferentes áreas / países ou mudou de área / país durante 2022, responda de acordo com o local em que passou a maior parte do ano.|"Opções:
 - Lista de todos os países da Valtech (ou seja, onde temos escritórios)
- Outro: especificar (texto livre)"|"* ESPAÇO RESERVADO: Selecione seu país...* OUTRO TEXTO: Outro (especifique)
* OUTRO ESPAÇO RESERVADO: escritório diferente"| | |Em que país você morou, em 2022?|Isso nos ajudará a determinar a intensidade de emissão de sua rede local. Se você dividir seu tempo de trabalho entre casas em diferentes áreas / países ou mudou de área / país durante 2022, responda de acordo com o local em que passou a maior parte do ano.|"Opções:
 - Lista de todos os países da Valtech (ou seja, onde temos escritórios)
- Outro: especificar (texto livre)"|Outro (especifique)|escritório diferente||Selecione seu país...||| |$
